Name,Routes
Rohini Sector 18 Platinum,"[{'name': '196', 'mode': 5, 'dir': 'Shivaji Stadium'}, {'name': '601', 'mode': 5, 'dir': 'Rk Puram Sector-1'}, {'name': '879A', 'mode': 5, 'dir': 'Janak Puri D Block'}, {'name': '985', 'mode': 5, 'dir': 'Rajendra Nagar R Block'}]"
Rohini Sector Station 16 X-Ing,"[{'name': '62', 'mode': 5, 'dir': 'Kamla Market'}]"
Distt Park,"[{'name': '985A', 'mode': 5, 'dir': 'Shahbad Dairy'}]"
Sabhapur Village X-Ing,"[{'name': '255', 'mode': 5, 'dir': 'Kendriya Sachivalaya Church Road'}]"
Khajoori School,"[{'name': '227A', 'mode': 5, 'dir': 'Shaheed Bhagat Singh Colony'}, {'name': '255', 'mode': 5, 'dir': 'Sabapur Village'}]"
Pusta 3 Sonia Vihar,"[{'name': '258', 'mode': 5, 'dir': 'Chauhan Patti'}, {'name': '33A', 'mode': 5, 'dir': 'Chauhan Patti'}]"
Karawal Nagar Terminal,"[{'name': '248', 'mode': 5, 'dir': 'Karawal Nagar Terminal'}, {'name': '270', 'mode': 5, 'dir': 'Karawal Nagar Terminal'}, {'name': '270', 'mode': 5, 'dir': 'Kendriya Sachivalaya Church Road'}, {'name': '270Ext', 'mode': 5, 'dir': 'Karawal Nagar Terminal'}, {'name': '270Ext', 'mode': 5, 'dir': 'Kendriya Sachivalaya Church Road'}]"
Pusta 1 Sonia Vihar,"[{'name': '258', 'mode': 5, 'dir': 'Chauhan Patti'}, {'name': '33A', 'mode': 5, 'dir': 'Chauhan Patti'}]"
Garhi Mandhu,"[{'name': '210', 'mode': 5, 'dir': 'Kendriya Sachivalaya Church Road'}, {'name': '216', 'mode': 5, 'dir': 'Laxmi Narayan Mandir'}, {'name': '216ACL', 'mode': 5, 'dir': 'Natyanand Marg'}, {'name': '216ACL', 'mode': 5, 'dir': 'Shivaji Stadium'}, {'name': '216ASTL', 'mode': 5, 'dir': 'Jawahar Lal Nehru Depot'}, {'name': '216CL', 'mode': 5, 'dir': 'Shivaji Stadium'}, {'name': '216LnkST', 'mode': 5, 'dir': 'Jawahar Lal Nehru Depot'}, {'name': '227A', 'mode': 5, 'dir': 'Old Delhi Railway Station'}, {'name': '227B', 'mode': 5, 'dir': 'Old Delhi Railway Station'}, {'name': '253', 'mode': 5, 'dir': 'Mori Gate Terminal'}, {'name': '253LnkST', 'mode': 5, 'dir': 'Mori Gate Terminal'}, {'name': '255', 'mode': 5, 'dir': 'Kendriya Sachivalaya Church Road'}, {'name': 'YMS(-)Ya', 'mode': 5, 'dir': 'Nityanand Marg'}]"
Sadat Pur,"[{'name': '227', 'mode': 5, 'dir': 'Old Delhi Railway Station'}, {'name': '227B', 'mode': 5, 'dir': 'Old Delhi Railway Station'}, {'name': '227Ext', 'mode': 5, 'dir': 'Kendriya Terminal'}, {'name': '248', 'mode': 5, 'dir': 'Mori Gate 2'}, {'name': '270', 'mode': 5, 'dir': 'Kendriya Sachivalaya Church Road'}, {'name': '270Ext', 'mode': 5, 'dir': 'Kendriya Sachivalaya Church Road'}]"
Gatta Factory Sonia Vihar,"[{'name': '258', 'mode': 5, 'dir': 'Chauhan Patti'}, {'name': '33A', 'mode': 5, 'dir': 'Chauhan Patti'}]"
Rajiv Nagar,"[{'name': '165', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '165A', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '212', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '227', 'mode': 5, 'dir': 'Karawal Nagar'}, {'name': '227Ext', 'mode': 5, 'dir': 'Karawal Nagar'}, {'name': '234', 'mode': 5, 'dir': 'Harsh Vihar'}, {'name': '234CL', 'mode': 5, 'dir': 'Harsh Vihar'}, {'name': '234CLE', 'mode': 5, 'dir': 'Harsh Vihar'}, {'name': '234Ext', 'mode': 5, 'dir': 'Harsh Vihar'}, {'name': '235', 'mode': 5, 'dir': 'Nand Nagri Terminal'}, {'name': '248', 'mode': 5, 'dir': 'Karawal Nagar Terminal'}, {'name': '254', 'mode': 5, 'dir': 'Babarpur Terminal'}, {'name': '259', 'mode': 5, 'dir': 'Harsh Vihar'}, {'name': '261', 'mode': 5, 'dir': 'Nand Nagri Terminal'}, {'name': '263', 'mode': 5, 'dir': 'Loni Border'}, {'name': '270', 'mode': 5, 'dir': 'Karawal Nagar Terminal'}, {'name': '270Ext', 'mode': 5, 'dir': 'Karawal Nagar Terminal'}, {'name': '333', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '33A', 'mode': 5, 'dir': 'Noida Sector-39'}, {'name': '341', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '971', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': '971A', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': 'OMS(-)Ut', 'mode': 5, 'dir': 'Anand Vihar I.S.B.T'}, {'name': 'OMS(-)Ut', 'mode': 5, 'dir': 'Uttam Nagar Terminal'}]"
